Iteration,Xk,FXk
0,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",78585.0
1,"[-0.01219, -0.02215, 0.17629, 0.08468, 0.0627, 0.04793, 0.05103, 0.08552, 0.06362, -0.02657, 0.02137, 0.01508, 0.05326, 0.03411, -0.00825, 0.00441, 0.03702, 0.02523, 0.03471, 0.03216, -0.01307, 0.05573, 0.10343, 0.01257, -0.04695, 0.07138, 0.01862, 0.07102, 0.07194]",146.7
2,"[0.00626, -0.060807, -0.01483, 0.17622, -0.022644, 0.12473, 0.030373, 0.034072, 0.048643, -0.12857, 0.066729, 0.055249, 0.08021, -0.024816, 0.077278, 0.20054, 0.1533, 0.02713, 0.11634, 0.044583, -0.057407, 0.056854, -0.07459, -0.20681, 0.18444, 0.024775, 0.10298, 0.01853, -0.07758]",69.03
3,"[-0.005742, -0.069845, -0.012757, 0.17838, -0.01918, 0.12367, 0.016623, 0.035099, 0.036777, -0.1268, 0.068166, 0.067866, 0.083593, -0.030583, 0.06774, 0.19276, 0.15909, 0.029886, 0.10898, 0.040498, -0.054955, 0.055544, -0.0763, -0.21506, 0.18751, 0.026097, 0.087107, 0.021975, -0.08029]",66.76
4,"[-0.0042581, -0.068057, -0.010791, 0.18104, -0.016353, 0.12615, 0.017425, 0.0376, 0.037694, -0.12376, 0.071209, 0.072289, 0.086621, -0.028696, 0.069505, 0.19456, 0.16247, 0.032952, 0.11075, 0.042516, -0.051775, 0.057854, -0.0744, -0.21359, 0.19111, 0.028787, 0.087915, 0.024752, -0.078346]",64.785
5,"[-0.013895, -0.076041, -0.0098157, 0.18314, -0.013935, 0.12559, 0.005518, 0.038729, 0.027016, -0.12339, 0.073592, 0.083839, 0.090089, -0.033805, 0.061881, 0.18751, 0.16759, 0.035574, 0.1048, 0.038088, -0.049868, 0.056418, -0.076721, -0.22247, 0.19443, 0.030728, 0.074772, 0.027116, -0.081617]",63.055
6,"[-0.012457, -0.074445, -0.0081779, 0.18553, -0.011503, 0.12783, 0.0062593, 0.040978, 0.027811, -0.12084, 0.07642, 0.087805, 0.092837, -0.032126, 0.063536, 0.18908, 0.17058, 0.038316, 0.10643, 0.039775, -0.04708, 0.058433, -0.075139, -0.22137, 0.19769, 0.033206, 0.075598, 0.029493, -0.079996]",61.505
7,"[-0.020257, -0.081539, -0.0080449, 0.18764, -0.0098626, 0.1276, -0.0042167, 0.042191, 0.018108, -0.12154, 0.079425, 0.098426, 0.096362, -0.036664, 0.057301, 0.18256, 0.1751, 0.040821, 0.10153, 0.035085, -0.045611, 0.0569, -0.077942, -0.23072, 0.20111, 0.035559, 0.064565, 0.031004, -0.083644]",60.105
8,"[-0.018838, -0.080068, -0.0066495, 0.18984, -0.0077189, 0.12966, -0.0035089, 0.044257, 0.018832, -0.11935, 0.082083, 0.10204, 0.098904, -0.035125, 0.058874, 0.18397, 0.17779, 0.043324, 0.10307, 0.036533, -0.043115, 0.0587, -0.076594, -0.22988, 0.20411, 0.037877, 0.065419, 0.033082, -0.082252]",58.84
9,"[-0.025169, -0.086383, -0.007162, 0.19196, -0.0066621, 0.12962, -0.012832, 0.045537, 0.0099928, -0.12084, 0.085438, 0.11181, 0.10245, -0.039167, 0.05366, 0.17786, 0.18176, 0.045692, 0.098996, 0.031676, -0.04201, 0.057105, -0.079764, -0.23954, 0.20752, 0.04049, 0.056061, 0.033906, -0.086119]",57.665
10,"[-0.023761, -0.084997, -0.0059485, 0.19402, -0.0047322, 0.13154, -0.012145, 0.047465, 0.010672, -0.11891, 0.087954, 0.11514, 0.10483, -0.037725, 0.055164, 0.17914, 0.18422, 0.048011, 0.10046, 0.032946, -0.039736, 0.058744, -0.078592, -0.23889, 0.21031, 0.04268, 0.056939, 0.035756, -0.084892]",56.585
11,"[-0.028937, -0.090632, -0.0069428, 0.19618, -0.0040916, 0.1316, -0.020536, 0.048791, 0.0025834, -0.12096, 0.091479, 0.12414, 0.10837, -0.04131, 0.050693, 0.17335, 0.18768, 0.050255, 0.097005, 0.027981, -0.038927, 0.057109, -0.082024, -0.2487, 0.21359, 0.045446, 0.048908, 0.036046, -0.088869]",55.575
